country,iso3,mean_temp,std_temp,median_temp,max_temp,min_temp,warming_rate,trend_r2,early_mean,early_std,recent_mean,recent_std,period_change,acceleration,years_data,cluster
Hungary,HUN,0.6603064516129032,0.9105982009134236,0.617,2.524,-1.068,0.037024779028480774,0.5294445876969285,-0.01365000000000001,0.6157704010766556,1.7341538461538462,0.5607166316649088,1.747803846153846,0.04540201612903227,62,1
Iceland,ISL,0.354483870967742,0.6809709799589891,0.413,1.784,-1.239,0.025948981390546706,0.46502099222594473,-0.09895000000000001,0.5884092270019673,1.0546923076923076,0.39335509500860766,1.1536423076923077,0.030328629032258067,62,0
India,IND,0.2986935483870968,0.3856772672513973,0.2965,1.134,-0.519,0.017107627609478485,0.6301161811184474,-0.018600000000000005,0.2640507128325323,0.7288461538461539,0.24390840020857765,0.7474461538461539,0.00954072580645161,62,0
Indonesia,IDN,0.37174193548387097,0.40110974829452734,0.2895,1.488,-0.257,0.019355040165193522,0.745677190034901,0.007249999999999995,0.15806823143653403,0.9333846153846154,0.3229087947758465,0.9261346153846154,0.01399516129032257,62,0
"Iran, Islamic Rep. of",IRN,0.697774193548387,0.8164708757493623,0.702,2.37,-0.959,0.03658321371912065,0.6429414887089137,0.01255000000000001,0.5478764243109842,1.7050000000000003,0.41906682044752724,1.6924500000000002,0.03601491935483871,62,1
Iraq,IRQ,0.6306290322580644,0.9005860678517856,0.567,2.712,-1.169,0.03768938077610738,0.5608887052425925,0.006300000000000003,0.6109017579731923,1.7859230769230767,0.5685350269975255,1.7796230769230768,0.056497177419354824,62,1
Ireland,IRL,0.4371612903225806,0.5899156909021226,0.427,1.764,-0.773,0.023941326080934758,0.5274795732102211,-0.05235000000000001,0.41595802862662407,0.8984615384615384,0.47718211327623045,0.9508115384615384,0.002391532258064516,62,0
Isle of Man,IMN,0.4397580645161291,0.6202012858867746,0.40449999999999997,1.84,-0.82,0.025012943516909667,0.5208988738786943,-0.062349999999999996,0.44014366972614755,0.9356923076923078,0.522678260598778,0.9980423076923078,0.0052774193548387055,62,0
Israel,ISR,0.3335161290322581,0.7260470024315604,0.244,2.321,-1.066,0.02756989247311828,0.4617743541284015,-0.0686,0.4942028562826147,1.3166923076923078,0.5062491785368455,1.3852923076923078,0.06324274193548388,62,1
Italy,ITA,0.6495161290322581,0.7182594719839711,0.5345,2.135,-0.537,0.033947621565812984,0.7153937126447306,-0.0368,0.31504011440483337,1.5660769230769231,0.37014196860539456,1.602876923076923,0.028000403225806447,62,1
Jamaica,JAM,0.6292033898305086,0.5238194079946817,0.617,1.623,-0.361,0.025007107954755265,0.7447235942748314,-0.008647058823529412,0.25267269865788594,1.181153846153846,0.2954095592432779,1.1898009049773755,-0.013201883506429219,59,0
Japan,JPN,0.37453225806451607,0.5541512463201062,0.369,1.437,-0.686,0.022413462264863637,0.5239024221949198,-0.039650000000000005,0.34524793150796185,0.9456153846153845,0.3485980346238196,0.9852653846153845,0.017688709677419354,62,0
